title,stage,block,timecode,duration_seconds,text,prev_text,next_text,style_profile,frame_file,frame_difference_seconds,basis,evidence_confidence,source_meaning_confidence,scene_fit_confidence,speaker_confidence,korean_naturalness,hallucination_risk,model_change_probability,rule_risk,provenance_risk,timing_risk,continuity_risk,error_memory_similarity,nearest_prior_bad_text,nearest_prior_correction,nearest_prior_basis,final_risk,tier,recommended_action,flags,relative_risk_percentile,priority_score,review_band,priority_action
ABF-305,사진 대조 1차 교정본,1008,"01:31:15,740 --> 01:31:15,760",0.02,이끌어내기 쉬운가요.,"왜 저는 커뮤니케이션을 끊고,",응.,반응형,sub_1008_5475.7s.jpg,0.04,,,25.0,90.0,50.0,78.0,75.0,0.93042,0.0,66.0,70.0,0.0,0.1931,가요.,갈 것 같아요.,성인 장면 관용 표현 교정,61.14,T2,후보 3개 생성 후 증거 기반 판정,high_cps,100.0,77.46,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-305,사진 대조 1차 교정본,1321,"02:33:43,830 --> 02:34:12,670",28.84,왜?,뭐?,좀 더 해 줘.,중립·혼합형,sub_1321_9223.8s.jpg,0.03,,,25.0,90.0,50.0,78.0,75.0,0.98991,0.0,66.0,25.0,0.0,0.2925,괜찮으려나? 왜? 잘 닦이고 있나?,괜찮으려나? 왜? 잘 닦이고 있어?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,59.14,T3,화자·문맥·자연스러움 집중 검토,long_duration_short_text,99.9259807549963,76.27,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-305,사진 대조 1차 교정본,1020,"01:33:53,560 --> 01:33:56,360",2.8,기뻐.,기뻐.,엉덩이 안 빼?,중립·혼합형,sub_1020_5633.6s.jpg,0.04,,,25.0,90.0,50.0,78.0,75.0,0.79127,42.0,66.0,0.0,0.0,1.0,기뻐.,기쁘다.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,55.85,T3,화자·문맥·자연스러움 집중 검토,,99.85196150999259,74.33,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-305,사진 대조 1차 교정본,247,"00:14:50,860 --> 00:14:53,640",2.78,"자, 눈 보면서 빼빼로 게임 하자.",기대하고 있어 줘.,"안 되겠다, 웃겨서.",중립·혼합형,sub_0247_890.9s.jpg,0.04,,,25.0,90.0,50.0,78.0,83.0,0.95366,0.0,66.0,0.0,0.0,0.2877,이쪽 보면서 할 수 있어.,이쪽 보면서 해 줘.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,55.59,T3,화자·문맥·자연스러움 집중 검토,,99.7779422649889,74.15,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-305,사진 대조 1차 교정본,1021,"01:34:25,640 --> 01:34:27,540",1.9,엉덩이 안 빼?,기뻐.,엉덩이 안 빼?,중립·혼합형,sub_1021_5665.6s.jpg,0.04,,,25.0,90.0,50.0,78.0,83.0,0.9451,0.0,66.0,0.0,0.0,0.5532,엉덩이 좀 봐.,이 유카타 진짜 귀엽네.,일본어 원문 + 타임스탬프 사진 + 장면 연속성,55.23,T3,화자·문맥·자연스러움 집중 검토,,99.7039230199852,73.91,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-305,사진 대조 1차 교정본,985,"01:27:05,400 --> 01:27:09,540",4.14,"자, 손을 짚고 엉덩이를 넓혀서.",먼저 페이지를 보여드립니다.,"자, 많이 해 줄게.",중립·혼합형,sub_0985_5225.4s.jpg,0.0,,,25.0,90.0,50.0,78.0,83.0,0.92696,0.0,66.0,0.0,0.0,0.3275,네 엉덩이를 핥게 해줘.,네 엉덩이를 핥게 해 줘.,,54.47,T3,화자·문맥·자연스러움 집중 검토,,99.6299037749815,73.44,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-305,사진 대조 1차 교정본,349,"00:19:53,720 --> 00:20:00,720",7.0,"움직일 수 없는 거 아니야? 맞아, 바로
그거야. 못 움직이겠잖아.",완전히 푹 빠져버렸네요.,앨리스가 아니면 안 되게 되어버릴지도 몰라.,반말형,sub_0349_1193.7s.jpg,0.02,,,25.0,90.0,50.0,78.0,83.0,0.90716,0.0,66.0,0.0,0.0,0.2514,온천 아니야?,뭔가…,일본어 원문 + 타임스탬프 사진 + 장면 연속성,53.64,T3,화자·문맥·자연스러움 집중 검토,,99.55588452997779,72.92,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-305,사진 대조 1차 교정본,773,"00:59:11,740 --> 00:59:13,120",1.38,마지막으로 엉덩이를 올려 주세요.,이렇게.,조금 기다려줘.,반응형,sub_0773_3551.7s.jpg,0.04,,,25.0,90.0,50.0,78.0,79.0,0.90994,0.0,66.0,0.0,0.0,0.4287,마지막으로 앞니도 닦아 줘.,마지막으로 앞니도 닦자.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,53.52,T3,화자·문맥·자연스러움 집중 검토,,99.48186528497409,72.82,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-305,사진 대조 1차 교정본,828,"01:02:24,190 --> 01:02:26,530",2.34,"근데 기쁘네, 넣고 싶다는 말을 들으니까.",어디에도 없어?,조금 도움이...,반말형,sub_0828_3744.2s.jpg,0.01,,,25.0,90.0,50.0,78.0,79.0,0.90376,0.0,66.0,0.0,0.0,0.2299,넣고 싶어.,빨리 넣고 싶어.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,53.26,T3,화자·문맥·자연스러움 집중 검토,,99.4078460399704,72.64,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-305,사진 대조 1차 교정본,1132,"02:01:40,530 --> 02:03:06,190",85.66,마스크는 우리는 장소가 흔들리고 있습니다.,보너스야.,나는 나에게 설명하는 날에 시들지 않아...,존댓말형,sub_1132_7300.5s.jpg,0.03,,,25.0,90.0,50.0,78.0,75.0,0.84189,0.0,66.0,0.0,35.0,0.2674,내 배를 쥐고 있습니다.,배에 힘이 들어가.,사진 속 반응과 문장 기능을 근거로 교정,53.22,T3,화자·문맥·자연스러움 집중 검토,formality_jump,99.3338267949667,72.59,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
