title,stage,block,timecode,duration_seconds,text,prev_text,next_text,style_profile,frame_file,frame_difference_seconds,basis,evidence_confidence,source_meaning_confidence,scene_fit_confidence,speaker_confidence,korean_naturalness,hallucination_risk,model_change_probability,rule_risk,provenance_risk,timing_risk,continuity_risk,error_memory_similarity,nearest_prior_bad_text,nearest_prior_correction,nearest_prior_basis,final_risk,tier,recommended_action,flags,relative_risk_percentile,priority_score,review_band,priority_action
ABF-196,사진 대조 1차 교정본,533,"02:19:06,460 --> 02:19:06,480",0.02,어떻게 하지...,아직 아파...,엄청 맛있어.,반응형,sub_0533_8346.5s.jpg,0.04,,,25.0,90.0,50.0,78.0,75.0,0.87525,42.0,66.0,70.0,0.0,1.0,어떻게 하지...,어떻게 하지…,,66.38,T2,후보 3개 생성 후 증거 기반 판정,high_cps,100.0,80.5,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-196,사진 대조 1차 교정본,353,"01:18:26,450 --> 01:18:56,130",29.68,아...,잠깐만...,확실히 전보다 더 커졌어.,반응형,sub_0353_4706.4s.jpg,0.05,,,25.0,90.0,50.0,78.0,75.0,0.97818,42.0,66.0,25.0,0.0,1.0,아...,아…,,66.2,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,99.86130374479889,80.34,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-196,사진 대조 1차 교정본,415,"01:42:40,370 --> 01:43:34,040",53.67,아...,계속 네 옆에 있을게.,너 말이야...,반응형,sub_0415_6160.4s.jpg,0.03,,,25.0,90.0,50.0,78.0,75.0,0.97586,42.0,66.0,25.0,0.0,1.0,아...,아…,,66.11,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,99.72260748959778,80.23,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-196,사진 대조 1차 교정본,622,"02:41:22,630 --> 02:41:52,760",30.13,아...,누워.,응.,반응형,sub_0622_9682.6s.jpg,0.03,,,25.0,90.0,50.0,78.0,75.0,0.96024,42.0,66.0,25.0,0.0,1.0,아...,아…,,65.45,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,99.58391123439667,79.79,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-196,사진 대조 1차 교정본,429,"01:45:18,600 --> 01:45:58,110",39.51,아...,아파! 기다려!,첫 번째 자극이야.,반응형,sub_0429_6318.6s.jpg,0.0,,,25.0,90.0,50.0,78.0,75.0,0.94557,42.0,66.0,25.0,0.0,1.0,아...,아…,,64.83,T2,후보 3개 생성 후 증거 기반 판정,long_duration_short_text,99.44521497919555,79.37,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-196,사진 대조 1차 교정본,328,"01:11:19,730 --> 01:11:19,850",0.12,숨을 들이마시세요.,"굉장해, 엄청나.",잠깐만...,존댓말형,sub_0328_4279.7s.jpg,0.03,,,25.0,90.0,50.0,78.0,75.0,0.74849,42.0,66.0,70.0,18.0,1.0,숨을 들이마시세요.,숨 좀 쉬어.,,62.5,T2,후보 3개 생성 후 증거 기반 판정,formality_shift;high_cps,99.30651872399446,77.96,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-196,사진 대조 1차 교정본,469,"02:04:07,780 --> 02:04:12,720",4.94,"이거, 이거, 이거, 그거, 이거, 그 정도, 그 정도...",이거 간다...,"아, 좀 더 해 줘...",중립·혼합형,sub_0469_7447.8s.jpg,0.02,,,25.0,90.0,50.0,78.0,75.0,0.88011,42.0,66.0,0.0,0.0,1.0,"이거, 이거, 이거, 그거, 이거, 그 정도, 그 정도...","이거, 이거, 이거, 그거, 이거, 그 정도, 그 정도…",,59.58,T3,화자·문맥·자연스러움 집중 검토,,99.16782246879335,76.21,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-196,사진 대조 1차 교정본,547,"02:21:51,640 --> 02:21:54,680",3.04,"아, 대단해. 엄청 단단하게 섰어...",아-...,아-...,반응형,sub_0547_8511.6s.jpg,0.04,,,25.0,90.0,50.0,78.0,75.0,0.83032,42.0,66.0,0.0,0.0,1.0,"아, 대단해. 엄청 단단하게 섰어...","아, 대단해. 엄청 단단하게 섰어…",,57.49,T3,화자·문맥·자연스러움 집중 검토,,99.02912621359224,74.94,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-196,사진 대조 1차 교정본,372,"01:30:06,210 --> 01:30:06,350",0.14,수고하셨습니다.,조금만 더 해 줘.,"아, 거기로.",존댓말형,sub_0372_5406.2s.jpg,0.01,,,25.0,90.0,50.0,78.0,75.0,0.51241,66.0,66.0,70.0,18.0,1.0,수고하셨습니다.,[불명],,56.9,T3,화자·문맥·자연스러움 집중 검토,formal_scene_mistranslation;formality_shift;high_cps,98.89042995839112,74.54,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
ABF-196,사진 대조 1차 교정본,39,"00:13:15,900 --> 00:13:16,260",0.36,조금 먹어볼게요.,괜찮아? 먹어볼게.,또 해 보면 알겠지.,반응형,sub_0039_795.9s.jpg,0.0,,,25.0,90.0,50.0,78.0,75.0,0.76692,17.12,66.0,41.11,0.0,0.7927,"또, 먹어볼게요.",다시 빨아 볼게요.,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,54.46,T3,화자·문맥·자연스러움 집중 검토,high_cps,98.75173370319001,73.06,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
