title,stage,block,timecode,duration_seconds,text,prev_text,next_text,style_profile,frame_file,frame_difference_seconds,basis,evidence_confidence,source_meaning_confidence,scene_fit_confidence,speaker_confidence,korean_naturalness,hallucination_risk,model_change_probability,rule_risk,provenance_risk,timing_risk,continuity_risk,error_memory_similarity,nearest_prior_bad_text,nearest_prior_correction,nearest_prior_basis,final_risk,tier,recommended_action,flags,relative_risk_percentile,priority_score,review_band,priority_action
SSIS-642,사진 대조 1차 교정본,768,"02:14:26,280 --> 02:14:26,300",0.02,힘 빼고 천천히 받아.,조금 더 참아.,그대로 안쪽까지 깊이 들어가게 해.,반응형,,0.02,,,25.0,90.0,50.0,78.0,79.0,0.97552,0.0,66.0,70.0,0.0,0.5697,힘을 빼고 천천히 받아들여 봐.,힘 빼고 천천히 받아 줘.,,63.27,T2,후보 3개 생성 후 증거 기반 판정,high_cps,100.0,78.7,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-642,사진 대조 1차 교정본,348,"00:53:37,030 --> 00:54:06,400",29.37,더 세게.,바로 거기야.,앉아 봐.,중립·혼합형,,0.03,,,25.0,90.0,50.0,78.0,75.0,0.99499,0.0,66.0,25.0,0.0,0.3757,더 세게 해 줘.,더 세게.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,59.35,T3,화자·문맥·자연스러움 집중 검토,long_duration_short_text,99.87468671679198,76.37,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-642,사진 대조 1차 교정본,237,"00:32:31,690 --> 00:32:31,710",0.02,가만히 있어.,얌전히 있어.,그렇게 얌전히 있어.,반응형,,0.01,,,25.0,90.0,50.0,78.0,75.0,0.81745,0.0,66.0,70.0,0.0,0.3275,뒤에 있어.,뒤쪽도 보여 줘.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,56.39,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.74937343358395,74.6,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-642,사진 대조 1차 교정본,659,"01:48:35,680 --> 01:48:39,320",3.64,"자, 내 것도 잔뜩 입에 넣고 핥아.",정말 소름 끼쳐요.,이것도 원했지? 핥고 싶었잖아.,중립·혼합형,,0.02,,,25.0,90.0,50.0,78.0,83.0,0.97133,0.0,66.0,0.0,0.0,0.3464,혀로 핥아.,그대로 핥아 줘.,일본어 원문 대조 + 자연스러운 한국어 대사 교정,56.34,T3,화자·문맥·자연스러움 집중 검토,,99.62406015037594,74.52,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-642,사진 대조 1차 교정본,252,"00:38:30,410 --> 00:38:30,630",0.22,이미 넘어가 버린 것 같네…,느낀다고 말해도 돼.,말했나?,반응형,,0.01,,,25.0,90.0,50.0,78.0,75.0,0.76364,11.57,66.0,70.0,0.0,0.7464,이미 넘어가 버린 것 같네...,이미 넘어가 버린 것 같네…,,56.22,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.49874686716792,74.4,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-642,사진 대조 1차 교정본,622,"01:38:53,920 --> 01:38:54,680",0.76,더 세게 해서 안쪽까지 전부 쏟아 줘요.,이제 참을 수 없겠지?,그래.,반말형,,0.02,,,25.0,90.0,50.0,78.0,79.0,0.88352,0.0,66.0,35.26,0.0,0.4305,안쪽까지 안 가?,더 안쪽까지 안 들어가?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,55.93,T3,화자·문맥·자연스러움 집중 검토,high_cps,99.37343358395991,74.18,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-642,사진 대조 1차 교정본,142,"00:12:40,490 --> 00:14:14,840",94.35,손가락도 예쁘고 얼굴도 예뻐. 보고 있자니 침이 절로 나오네.,피부도 예쁘네. 잠든 거야? 그러다 감기 걸린다.,술을 너무 마시고 잠드니까 이런 일이 생기는 거야.,반말형,,0.01,,,25.0,90.0,50.0,78.0,75.0,0.96471,0.0,66.0,0.0,0.0,0.2306,손가락도 엉덩이도 좋아? 이쪽도 빨아 줄까?,손가락도 엉덩이도 좋아? 이쪽도 핥아 줄까?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,55.58,T3,화자·문맥·자연스러움 집중 검토,,99.24812030075188,73.92,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-642,사진 대조 1차 교정본,235,"00:31:51,560 --> 00:32:00,120",8.56,"왜 계속 멈추지 않는 거야? 싫지 않은 거잖아. 자, 제대로 움직여 봐.",돌아가라고 한 적 없어. 섹스 좋아하잖아. 얌전한 얼굴로 계속 흘리고 있군.,얌전히 있어.,반말형,,0.04,,,25.0,90.0,50.0,78.0,79.0,0.95862,0.0,66.0,0.0,0.0,0.2707,멈추지 말고 계속하자.,멈추지 말고 계속해.,사진 장면 확인 및 한국어 번역투 교정,55.56,T3,화자·문맥·자연스러움 집중 검토,,99.12280701754386,73.86,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-642,사진 대조 1차 교정본,30,"00:01:40,340 --> 00:01:43,580",3.24,게다가 손가락에 침 묻혀서 서류를 넘긴다는 얘기도 들었어.,기분 나빠지니까 그런 얘기 그만해.,응. 제발 그만해.,중립·혼합형,,0.04,,,25.0,90.0,50.0,78.0,79.0,0.94636,0.0,66.0,0.0,0.0,0.0983,손가락도 엉덩이도 좋아? 이쪽도 빨아 줄까?,손가락도 엉덩이도 좋아? 이쪽도 핥아 줄까?,일본어 원문 대조 + 자연스러운 한국어 대사 교정,55.05,T3,화자·문맥·자연스러움 집중 검토,,98.99749373433583,73.51,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
SSIS-642,사진 대조 1차 교정본,487,"01:17:11,340 --> 01:17:16,940",5.6,그 모토키 부장한테 불쾌한 말을 듣거나 싫은 일을 당하진 않았어?,응.,싫은 일은… 싫은 일…,중립·혼합형,,0.04,,,25.0,90.0,50.0,78.0,75.0,0.93763,0.0,66.0,0.0,0.0,0.2414,이상하지 않았어?,오래 만난 사람은?,손상된 일본어 ASR + 타임스탬프 사진 + 앞뒤 문맥 추론,54.44,T3,화자·문맥·자연스러움 집중 검토,,98.80952380952381,73.08,P1,장면 패킷을 열고 후보 3개를 생성해 반증 검토
